FID,JOIN_FID,FREQUENCY,SUM_resist
-1,612,210,469.9247182
-1,613,26,58.18114992
-1,614,77,172.3057172
-1,615,55,123.0755079
-1,616,884,1978.159212
-1,617,179,400.5548451
-1,618,1074,2403.329106
-1,619,57,127.5510249
-1,620,229,512.4417164
-1,621,234,523.630406
-1,622,45,100.6981582
-1,623,31,69.36984256
-1,624,83,185.7321555
-1,625,472,1056.21177
-1,626,39,87.27173864
-1,627,199,445.3096609
-1,628,544,1217.328924
-1,629,1950,4363.58702
-1,630,233,521.3927431
-1,631,95,212.5850387
-1,632,318,711.6004527
-1,633,62,138.7397092
-1,634,17,38.04153371
-1,635,3566,7979.770784
-1,636,21,46.99248858
-1,637,665,1488.095437
-1,638,1292,2891.156866
-1,639,1036,2318.296258
-1,640,24,53.70570873
-1,641,1,2.237738102
-1,642,397,888.3817419
-1,643,200,447.5475176
-1,644,111,248.3888969
-1,645,31,69.36983078
-1,646,2805,6276.851553
-1,647,209,467.6872259
-1,648,203,454.2608153
-1,649,242,541.5326032
-1,650,424,948.8009764
-1,651,52,116.3623868
-1,652,70,156.641684
-1,653,22,49.23024488
-1,654,60,134.2642811
-1,655,370,827.9631296
-1,656,1164,2604.725891
-1,657,159,355.8003123
-1,658,128,286.4303583
-1,659,15,33.56604654
-1,661,75,167.8302445
-1,663,5,11.18869289
-1,664,13,29.09056422
-1,665,14,31.32830173
-1,666,1669,3734.781875
-1,667,146,326.7095377
-1,668,27,60.41888727
-1,669,41,91.74720948
-1,670,263,588.5250787
-1,671,101,226.0115496
-1,672,229,512.4420977
-1,673,403,901.8085189
-1,674,208,465.4491856
-1,675,4724,10571.06926
-1,676,503,1125.582142
-1,678,53,118.6000414
-1,679,72,161.117047
-1,680,11,24.61511634
-1,681,253,566.1478251
-1,682,168,375.9400889
-1,687,44,98.46033141
-1,689,3038,6798.238509
-1,690,77,172.3055887
-1,691,3135,7015.298841
-1,694,40,89.50941049
-1,695,178,398.3169149
-1,698,1551,3470.727446
-1,699,52,116.3622426
-1,700,48,107.4113004
-1,701,41,91.74715459
-1,703,5245,11736.92164
-1,704,131,293.1433461
-1,707,595,1331.452526
-1,711,817,1828.230033
-1,712,1539,3443.87532
-1,714,4063,9091.920182
-1,715,31,69.36981452
-1,716,9572,21419.60473
-1,717,2803,6272.373263
-1,718,34,76.08302412
