Orig_FID,Class,Quadrant,District,Orig_area,Gridtype,Resolution,Area,DiffArea,Percent
797,Manicured,NE,707H,112.4590863,ISEA3H,25,906.2832317,793.8241455,705.8781746
523,Manicured,NW,801E,112.5627324,ISEA3H,25,725.026366,612.4636336,544.1087121
700,Building/Paved,NE,707I,112.897614,ISEA3H,25,422.9319943,310.0343803,274.6155293
1004,Manicured,NE,707H,113.0220145,ISEA3H,25,302.0942478,189.0722333,167.2879696
600,Manicured,NW,801E,113.0242325,ISEA3H,25,483.3510345,370.326802,327.6525695
323,Manicured,NE,707A,113.1390916,ISEA3H,25,483.3517927,370.2127011,327.2190857
922,Manicured,NE,707D,113.5388137,ISEA3H,25,483.3512137,369.8124,325.7145182
828,Manicured,NE,707F,115.7174504,ISEA3H,25,725.0261833,609.3087329,526.5487019
874,Manicured,NE,707H,116.1155196,ISEA3H,25,725.0265884,608.9110688,524.4011058
806,Manicured,NE,707I,116.4874636,ISEA3H,25,422.9319439,306.4444803,263.070781
458,Building/Paved,NW,801E,116.4893243,ISEA3H,25,906.28292,789.7935957,677.9965464
1060,Roads/Raillines,NE,707H,116.7932904,ISEA3H,25,483.3510719,366.5577815,313.8517463
1000,Manicured,NE,707H,117.21389,ISEA3H,25,422.9319148,305.7180248,260.8206457
699,Building/Paved,NE,707I,117.5750741,ISEA3H,25,725.0262803,607.4512062,516.6496478
786,Forest,NE,707H,119.1295902,ISEA3H,25,422.9318213,303.8022311,255.0182793
592,Manicured,NW,801E,119.5258315,ISEA3H,25,422.9321298,303.4062984,253.8416128
965,Manicured,NE,707D,119.5268674,ISEA3H,25,664.6084144,545.081547,456.0326551
289,Manicured,NE,801F,119.8889065,ISEA3H,25,604.1887416,484.2998351,403.957171
490,Building/Paved,NW,801E,119.9655982,ISEA3H,25,362.5134292,242.547831,202.1811541
261,Manicured,NE,801F,120.2919633,ISEA3H,25,664.6078069,544.3158436,452.4956021
584,Manicured,NW,801E,121.1910503,ISEA3H,25,422.9321121,301.7410618,248.9796574
633,Manicured,NW,801B,121.6520262,ISEA3H,25,483.3512473,361.6992212,297.3228088
569,Manicured,NW,801E,121.9940388,ISEA3H,25,422.9320704,300.9380316,246.6825712
596,Manicured,NW,801E,122.0465346,ISEA3H,25,785.4454217,663.398887,543.5622479
787,Forest,NE,707H,122.1521488,ISEA3H,25,422.931837,300.7796883,246.2336449
1003,Manicured,NE,707H,122.4974819,ISEA3H,25,422.9319374,300.4344554,245.2576581
906,Manicured,NE,707G,122.6402691,ISEA3H,25,604.1889769,481.5487078,392.651379
876,Manicured,NE,707H,123.0407535,ISEA3H,25,1087.539899,964.499145,783.885922
553,Manicured,NW,801E,123.1336503,ISEA3H,25,362.5131715,239.3795213,194.4062575
158,Building/Paved,NE,707C,123.4797337,ISEA3H,25,483.3514583,359.8717246,291.4419345
978,Manicured,NE,707D,123.7380377,ISEA3H,25,543.7703836,420.0323459,339.4528907
604,Manicured,NW,801J,123.9202019,ISEA3H,25,543.7699137,419.8497118,338.8065105
524,Manicured,NW,801E,123.9746218,ISEA3H,25,845.8640941,721.8894723,582.288102
875,Manicured,NE,707H,124.2805345,ISEA3H,25,1147.958768,1023.678234,823.683482
